2026-07-14 14:34:30.308 | DEBUG    | app.parser.detail_parser:parse_detail_page:78 | ASIN B0CSFW3465: 详情解析 13/15 字段有效
2026-07-14 14:34:30.312 | DEBUG    | app.parser.detail_parser:parse_detail_page:78 | ASIN B0CSFW3465: 详情解析 13/15 字段有效
2026-07-14 14:34:30.315 | DEBUG    | app.parser.detail_parser:parse_detail_page:78 | ASIN B0CSFW3465: 详情解析 13/15 字段有效
2026-07-14 14:34:30.318 | DEBUG    | app.parser.detail_parser:parse_detail_page:78 | ASIN B0CSFW3465: 详情解析 13/15 字段有效
2026-07-14 14:47:28.691 | INFO     | __main__:crawl:47 | ===== 开始数据采集 =====
2026-07-14 14:47:28.971 | INFO     | app.crawler.list_crawler:crawl_all_keywords:179 | ===== 开始采集关键词: 手柄 =====
2026-07-14 14:47:28.971 | INFO     | app.crawler.cookie_manager:get_cookies:40 | 正在自动获取 Amazon Cookie...
2026-07-14 14:47:43.402 | INFO     | app.crawler.cookie_manager:_fetch_fresh_cookies:72 | 获取到 0 个 Cookie
2026-07-14 14:47:43.403 | DEBUG    | app.crawler.cookie_manager:_fetch_fresh_cookies:73 | Cookie keys: []
2026-07-14 14:47:43.451 | DEBUG    | app.crawler.cookie_manager:_save_to_file:114 | Cookie 已缓存到 data\cookies.json
2026-07-14 14:47:45.581 | WARNING  | app.crawler.list_crawler:crawl_list_page:105 | 列表页返回非 200: keyword=手柄, page=1, status=503
2026-07-14 14:47:45.582 | DEBUG    | app.crawler.list_crawler:crawl_list_pages_for_keyword:163 | 等待 3.1s...
2026-07-14 14:47:48.736 | ERROR    | app.crawler.list_crawler:crawl_list_page:125 | 列表页异常: keyword=手柄, page=2 — 'latin-1' codec can't encode characters in position 27-28: ordinal not in range(256)
2026-07-14 14:47:48.736 | WARNING  | app.crawler.list_crawler:crawl_list_pages_for_keyword:157 | 连续 2 次失败，停止采集: keyword=手柄
2026-07-14 14:47:48.737 | INFO     | app.crawler.list_crawler:crawl_list_pages_for_keyword:166 | 关键词 '手柄' 采集完成: 0/5 页有效
2026-07-14 14:47:48.737 | INFO     | app.crawler.list_crawler:crawl_all_keywords:179 | ===== 开始采集关键词: mouse =====
2026-07-14 14:47:48.738 | INFO     | app.crawler.cookie_manager:get_cookies:40 | 正在自动获取 Amazon Cookie...
2026-07-14 14:47:55.638 | INFO     | app.crawler.cookie_manager:_fetch_fresh_cookies:72 | 获取到 0 个 Cookie
2026-07-14 14:47:55.639 | DEBUG    | app.crawler.cookie_manager:_fetch_fresh_cookies:73 | Cookie keys: []
2026-07-14 14:47:55.697 | DEBUG    | app.crawler.cookie_manager:_save_to_file:114 | Cookie 已缓存到 data\cookies.json
2026-07-14 14:47:56.924 | WARNING  | app.crawler.list_crawler:crawl_list_page:105 | 列表页返回非 200: keyword=mouse, page=1, status=503
2026-07-14 14:47:56.924 | DEBUG    | app.crawler.list_crawler:crawl_list_pages_for_keyword:163 | 等待 3.8s...
2026-07-14 14:48:04.433 | INFO     | app.crawler.list_crawler:crawl_list_page:118 | 列表页成功: keyword=mouse, page=2, 数据长度=1,004,840 字符
2026-07-14 14:48:04.433 | DEBUG    | app.crawler.list_crawler:crawl_list_pages_for_keyword:163 | 等待 4.1s...
2026-07-14 14:48:12.035 | INFO     | app.crawler.list_crawler:crawl_list_page:118 | 列表页成功: keyword=mouse, page=3, 数据长度=954,170 字符
2026-07-14 14:48:12.035 | DEBUG    | app.crawler.list_crawler:crawl_list_pages_for_keyword:163 | 等待 3.4s...
2026-07-14 14:48:18.967 | INFO     | app.crawler.list_crawler:crawl_list_page:118 | 列表页成功: keyword=mouse, page=4, 数据长度=1,074,718 字符
2026-07-14 14:48:18.968 | DEBUG    | app.crawler.list_crawler:crawl_list_pages_for_keyword:163 | 等待 4.4s...
2026-07-14 14:48:26.455 | INFO     | app.crawler.list_crawler:crawl_list_page:118 | 列表页成功: keyword=mouse, page=5, 数据长度=859,031 字符
2026-07-14 14:48:26.456 | INFO     | app.crawler.list_crawler:crawl_list_pages_for_keyword:166 | 关键词 'mouse' 采集完成: 4/5 页有效
2026-07-14 14:48:26.456 | INFO     | app.crawler.list_crawler:crawl_all_keywords:179 | ===== 开始采集关键词: keyboard =====
2026-07-14 14:48:26.456 | INFO     | app.crawler.cookie_manager:get_cookies:40 | 正在自动获取 Amazon Cookie...
2026-07-14 14:48:34.936 | INFO     | app.crawler.cookie_manager:_fetch_fresh_cookies:72 | 获取到 0 个 Cookie
2026-07-14 14:48:34.937 | DEBUG    | app.crawler.cookie_manager:_fetch_fresh_cookies:73 | Cookie keys: []
2026-07-14 14:48:34.994 | DEBUG    | app.crawler.cookie_manager:_save_to_file:114 | Cookie 已缓存到 data\cookies.json
2026-07-14 14:48:37.480 | WARNING  | app.crawler.list_crawler:crawl_list_page:105 | 列表页返回非 200: keyword=keyboard, page=1, status=503
2026-07-14 14:48:37.481 | DEBUG    | app.crawler.list_crawler:crawl_list_pages_for_keyword:163 | 等待 5.9s...
2026-07-14 14:48:47.700 | INFO     | app.crawler.list_crawler:crawl_list_page:118 | 列表页成功: keyword=keyboard, page=2, 数据长度=1,071,736 字符
2026-07-14 14:48:47.701 | DEBUG    | app.crawler.list_crawler:crawl_list_pages_for_keyword:163 | 等待 5.0s...
2026-07-14 14:48:57.442 | INFO     | app.crawler.list_crawler:crawl_list_page:118 | 列表页成功: keyword=keyboard, page=3, 数据长度=950,243 字符
2026-07-14 14:48:57.443 | DEBUG    | app.crawler.list_crawler:crawl_list_pages_for_keyword:163 | 等待 4.2s...
2026-07-14 14:49:05.241 | INFO     | app.crawler.list_crawler:crawl_list_page:118 | 列表页成功: keyword=keyboard, page=4, 数据长度=949,177 字符
2026-07-14 14:49:05.241 | DEBUG    | app.crawler.list_crawler:crawl_list_pages_for_keyword:163 | 等待 4.5s...
2026-07-14 14:49:13.106 | INFO     | app.crawler.list_crawler:crawl_list_page:118 | 列表页成功: keyword=keyboard, page=5, 数据长度=940,505 字符
2026-07-14 14:49:13.107 | INFO     | app.crawler.list_crawler:crawl_list_pages_for_keyword:166 | 关键词 'keyboard' 采集完成: 4/5 页有效
2026-07-14 14:49:13.107 | DEBUG    | app.parser.list_parser:parse_raw_data:265 | 解析页码: 2
2026-07-14 14:49:13.561 | DEBUG    | app.parser.list_parser:parse_raw_data:265 | 解析页码: 3
2026-07-14 14:49:14.004 | DEBUG    | app.parser.list_parser:parse_raw_data:265 | 解析页码: 4
2026-07-14 14:49:14.424 | DEBUG    | app.parser.list_parser:parse_raw_data:265 | 解析页码: 5
2026-07-14 14:49:14.868 | INFO     | app.parser.list_parser:parse_raw_data:314 | 列表解析完成: 162 片段 → 92 唯一商品
2026-07-14 14:49:14.868 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   asin: 92/92 (100%)
2026-07-14 14:49:14.868 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   card_type: 92/92 (100%)
2026-07-14 14:49:14.868 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   title: 82/92 (89%)
2026-07-14 14:49:14.868 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   current_price_raw: 56/92 (61%)
2026-07-14 14:49:14.868 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   current_price: 56/92 (61%)
2026-07-14 14:49:14.868 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   list_price_raw: 27/92 (29%)
2026-07-14 14:49:14.869 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   rating: 84/92 (91%)
2026-07-14 14:49:14.870 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   review_count: 81/92 (88%)
2026-07-14 14:49:14.870 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   monthly_sales: 67/92 (73%)
2026-07-14 14:49:14.870 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   delivery_info: 56/92 (61%)
2026-07-14 14:49:14.870 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   image_url: 82/92 (89%)
2026-07-14 14:49:14.870 | INFO     | __main__:crawl:80 | 关键词 'mouse': 解析出 92 个商品
2026-07-14 14:49:14.871 | DEBUG    | app.parser.list_parser:parse_raw_data:265 | 解析页码: 2
2026-07-14 14:49:15.338 | DEBUG    | app.parser.list_parser:parse_raw_data:265 | 解析页码: 3
2026-07-14 14:49:15.708 | DEBUG    | app.parser.list_parser:parse_raw_data:265 | 解析页码: 4
2026-07-14 14:49:16.100 | DEBUG    | app.parser.list_parser:parse_raw_data:265 | 解析页码: 5
2026-07-14 14:49:16.551 | INFO     | app.parser.list_parser:parse_raw_data:314 | 列表解析完成: 165 片段 → 94 唯一商品
2026-07-14 14:49:16.551 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   asin: 94/94 (100%)
2026-07-14 14:49:16.551 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   card_type: 94/94 (100%)
2026-07-14 14:49:16.551 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   title: 93/94 (99%)
2026-07-14 14:49:16.551 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   current_price_raw: 71/94 (76%)
2026-07-14 14:49:16.552 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   current_price: 71/94 (76%)
2026-07-14 14:49:16.552 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   list_price_raw: 45/94 (48%)
2026-07-14 14:49:16.552 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   rating: 93/94 (99%)
2026-07-14 14:49:16.552 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   review_count: 93/94 (99%)
2026-07-14 14:49:16.552 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   monthly_sales: 83/94 (88%)
2026-07-14 14:49:16.552 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   delivery_info: 71/94 (76%)
2026-07-14 14:49:16.552 | DEBUG    | app.parser.list_parser:parse_raw_data:317 |   image_url: 93/94 (99%)
2026-07-14 14:49:16.553 | INFO     | __main__:crawl:80 | 关键词 'keyboard': 解析出 94 个商品
2026-07-14 14:49:16.569 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0GJZ76PFT
