2026-07-15 09:07:12.840 | INFO     | __main__:web:189 | Web Dashboard 启动: http://0.0.0.0:8000
2026-07-15 09:21:00.759 | INFO     | __main__:crawl:48 | ===== 开始数据采集 =====
2026-07-15 09:21:00.942 | INFO     | app.crawler.list_crawler:crawl_all_keywords:179 | ===== 开始采集关键词: mouse =====
2026-07-15 09:21:00.942 | INFO     | app.crawler.cookie_manager:_load_manual:169 | 从 cookies_manual.json 加载了 12 个手动 Cookie
2026-07-15 09:21:03.936 | INFO     | app.crawler.cookie_manager:get_cookies:32 | 使用手动 Cookie
2026-07-15 09:21:07.058 | INFO     | app.crawler.list_crawler:crawl_list_page:118 | 列表页成功: keyword=mouse, page=1, 数据长度=1,402,944 字符
2026-07-15 09:21:07.059 | DEBUG    | app.crawler.list_crawler:crawl_list_pages_for_keyword:163 | 等待 3.9s...
2026-07-15 09:21:13.832 | INFO     | app.crawler.list_crawler:crawl_list_page:118 | 列表页成功: keyword=mouse, page=2, 数据长度=1,211,633 字符
2026-07-15 09:21:13.833 | DEBUG    | app.crawler.list_crawler:crawl_list_pages_for_keyword:163 | 等待 3.0s...
2026-07-15 09:21:19.180 | INFO     | app.crawler.list_crawler:crawl_list_page:118 | 列表页成功: keyword=mouse, page=3, 数据长度=1,005,337 字符
2026-07-15 09:21:19.181 | DEBUG    | app.crawler.list_crawler:crawl_list_pages_for_keyword:163 | 等待 2.9s...
2026-07-15 09:21:25.054 | INFO     | app.crawler.list_crawler:crawl_list_page:118 | 列表页成功: keyword=mouse, page=4, 数据长度=1,474,821 字符
2026-07-15 09:21:25.055 | DEBUG    | app.crawler.list_crawler:crawl_list_pages_for_keyword:163 | 等待 3.6s...
2026-07-15 09:21:31.458 | INFO     | app.crawler.list_crawler:crawl_list_page:118 | 列表页成功: keyword=mouse, page=5, 数据长度=895,943 字符
2026-07-15 09:21:31.459 | INFO     | app.crawler.list_crawler:crawl_list_pages_for_keyword:166 | 关键词 'mouse' 采集完成: 5/5 页有效
2026-07-15 09:21:31.459 | INFO     | app.crawler.list_crawler:crawl_all_keywords:179 | ===== 开始采集关键词: keyboard =====
2026-07-15 09:21:31.460 | INFO     | app.crawler.cookie_manager:_load_manual:169 | 从 cookies_manual.json 加载了 12 个手动 Cookie
2026-07-15 09:21:34.254 | INFO     | app.crawler.cookie_manager:get_cookies:32 | 使用手动 Cookie
2026-07-15 09:21:36.891 | INFO     | app.crawler.list_crawler:crawl_list_page:118 | 列表页成功: keyword=keyboard, page=1, 数据长度=864,978 字符
2026-07-15 09:21:36.892 | DEBUG    | app.crawler.list_crawler:crawl_list_pages_for_keyword:163 | 等待 3.8s...
2026-07-15 09:21:44.097 | INFO     | app.crawler.list_crawler:crawl_list_page:118 | 列表页成功: keyword=keyboard, page=2, 数据长度=1,337,637 字符
2026-07-15 09:21:44.098 | DEBUG    | app.crawler.list_crawler:crawl_list_pages_for_keyword:163 | 等待 3.1s...
2026-07-15 09:21:50.526 | INFO     | app.crawler.list_crawler:crawl_list_page:118 | 列表页成功: keyword=keyboard, page=3, 数据长度=1,022,565 字符
2026-07-15 09:21:50.527 | DEBUG    | app.crawler.list_crawler:crawl_list_pages_for_keyword:163 | 等待 2.9s...
2026-07-15 09:21:56.566 | INFO     | app.crawler.list_crawler:crawl_list_page:118 | 列表页成功: keyword=keyboard, page=4, 数据长度=1,233,311 字符
2026-07-15 09:21:56.566 | DEBUG    | app.crawler.list_crawler:crawl_list_pages_for_keyword:163 | 等待 2.7s...
2026-07-15 09:22:01.904 | INFO     | app.crawler.list_crawler:crawl_list_page:118 | 列表页成功: keyword=keyboard, page=5, 数据长度=782,315 字符
2026-07-15 09:22:01.904 | INFO     | app.crawler.list_crawler:crawl_list_pages_for_keyword:166 | 关键词 'keyboard' 采集完成: 5/5 页有效
2026-07-15 09:22:01.905 | DEBUG    | app.parser.list_parser:parse_raw_data:288 | 解析页码: 1
2026-07-15 09:22:02.455 | DEBUG    | app.parser.list_parser:parse_raw_data:288 | 解析页码: 2
2026-07-15 09:22:02.847 | DEBUG    | app.parser.list_parser:parse_raw_data:288 | 解析页码: 3
2026-07-15 09:22:03.147 | DEBUG    | app.parser.list_parser:parse_raw_data:288 | 解析页码: 4
2026-07-15 09:22:03.740 | DEBUG    | app.parser.list_parser:parse_raw_data:288 | 解析页码: 5
2026-07-15 09:22:04.009 | INFO     | app.parser.list_parser:parse_raw_data:337 | 列表解析完成: 190 片段 → 87 唯一商品
2026-07-15 09:22:04.009 | DEBUG    | app.parser.list_parser:parse_raw_data:340 |   asin: 87/87 (100%)
2026-07-15 09:22:04.010 | DEBUG    | app.parser.list_parser:parse_raw_data:340 |   card_type: 87/87 (100%)
